"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment3"
"11/06/2019 14:37:03:767 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","%-similar-maximo","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"301","85","0","90","2","0","48.616600790513836","0"
"302","85","0","90","2","0","48.74005305039788","0"
"298","85","0","89","3","0","48.43995804929208","0"
"299","85","0","89","3","0","48.982869379014986","0"
"303","85","0","90","3","0","49.93965401636047","0"
"304","85","0","90","2","0","48.66275277234181","0"
"307","85","0","90","1","0","49.529042386185246","0"
"305","85","0","90","2","0","48.844794781190544","0"
"306","85","0","90","2","0","49.327763999477874","0"
"308","85","0","90","2","0","49.658222758343385","0"
"300","85","0","89","6","0","49.458102035421625","0"
"310","85","0","90","2","0","50.44201081936931","0"
"309","85","0","90","3","0","48.965335442203774","0"
"311","85","1","60","13","0","37.37047503700713","0"
"315","85","1","60","13","0","37.201721215282305","0"
"318","85","1","60","12","0","37.35661483558501","0"
"314","85","1","60","15","0","36.644277964350294","0"
"317","85","1","60","14","0","36.91170750680669","0"
"316","85","1","60","19","0","37.76322547508988","0"
"312","85","1","60","23","0","37.25516501207405","0"
"313","85","1","60","23","0","36.80346138717713","0"
"319","85","1","60","13","0","36.49767201241593","0"
"320","85","1","60","12","0","37.37024221453287","0"
"322","85","1","61","12","0","37.07433417251888","0"
"325","85","1","61","10","0","37.02431289640592","0"
"321","85","1","61","17","0","37.525164407462086","0"
"323","85","1","61","19","0","36.984687868080094","0"
"324","85","1","61","18","0","37.62057877813505","0"
"326","85","1","61","17","0","36.80828743771309","0"
"328","85","1","61","12","0","36.88438240716355","0"
"329","85","1","61","13","0","36.097813429939194","0"
"330","85","1","61","10","0","36.72323759791123","0"
"332","85","1","62","12","0","37.07099816609903","0"
"331","85","1","62","15","0","36.68230388324212","0"
"327","85","1","61","26","0","37.03751785018824","0"
"336","85","1","62","13","0","37.36664415935179","0"
"335","85","1","62","15","0","37.16686359459105","0"
"333","85","1","62","19","0","36.54336734693878","0"
"334","85","1","62","19","0","37.229551451187334","0"
"337","85","1","62","17","0","37.11972842407625","0"
"339","85","1","62","12","0","37.530483891669874","0"
"338","85","1","62","15","0","37.74278215223097","0"
"340","85","1","62","14","0","37.35933001831982","0"
"342","85","1","63","11","0","39.699738903394255","0"
"343","85","1","63","11","0","40.52312357846854","0"
"341","85","1","63","15","0","40.53000779423227","0"
"344","85","1","63","11","0","40.71080318193482","0"
"345","85","1","63","9","0","39.72404730617608","0"
"346","85","1","63","12","0","39.939505523408734","0"
"347","85","1","63","11","0","40.2054012932674","0"
"348","85","1","63","11","0","39.826334888543286","0"
"351","85","1","64","8","0","40.47040777195449","0"
"349","85","1","63","10","0","40.56665361013187","0"
"350","85","1","63","11","0","40.36842105263158","0"
"353","85","1","64","10","0","40.06159373796997","0"
"352","85","1","64","12","0","39.68745964096603","0"
"355","85","1","64","8","0","40.137555151829744","0"
"354","85","1","64","11","0","40.237063471832776","0"
"356","85","1","64","10","0","40.30637870416876","0"
"358","85","1","64","11","0","39.976659751037346","0"
"359","85","1","64","11","0","40.35109717868339","0"
"362","85","1","65","8","0","40.601303711587065","0"
"361","85","1","65","10","0","39.39551173952523","0"
"360","85","1","64","13","0","39.64815544177498","0"
"357","85","1","64","18","0","40.11784296144486","0"
"363","85","1","65","14","0","40.757995467136745","0"
"365","85","1","65","11","0","39.88645365724848","0"
"367","85","1","65","9","0","40.49955396966994","0"
"366","85","1","65","10","0","39.80980055474838","0"
"364","85","1","65","15","0","40.01043296817945","0"
"368","85","1","65","13","0","39.083377872795296","0"
"369","85","1","65","11","0","39.61872649461808","0"
"370","85","1","65","17","0","40.808918848846254","0"
"374","85","1","66","11","0","40.256574727389356","0"
"377","85","1","66","7","0","40.456135804068936","0"
"371","85","1","66","13","0","40.12666244458518","0"
"373","85","1","66","12","0","40.06272050176401","0"
"372","85","1","66","13","0","39.86160073116595","0"
"375","85","1","66","11","0","40.54646217296043","0"
"376","85","1","66","12","0","40.07281237810428","0"
"384","85","1","67","6","0","41.6156202143951","0"
"379","85","1","66","9","0","39.88186954288649","0"
"382","85","1","67","8","0","41.36340338288058","0"
"380","85","1","66","9","0","40.34248300176278","0"
"378","85","1","66","11","0","39.75811584977721","0"
"381","85","1","67","10","0","41.49171991133133","0"
"383","85","1","67","9","0","41.20249869859448","0"
"385","85","1","67","8","0","41.73935027177348","0"
"389","85","1","67","5","0","41.4000261198903","0"
"387","85","1","67","8","0","41.6395998440951","0"
"386","85","1","67","9","0","41.20015586439798","0"
"391","85","1","68","8","0","41.06019766397125","0"
"388","85","1","67","10","0","41.93292843939794","0"
"392","85","1","68","9","0","41.212665042943215","0"
"390","85","1","67","10","0","41.14503816793893","0"
"393","85","1","68","8","0","41.52892561983471","0"
"394","85","1","68","9","0","41.323971915747244","0"
"398","85","1","68","6","0","41.555064360941365","0"
"395","85","1","68","9","0","42.182813926196374","0"
"396","85","1","68","9","0","40.924435211633345","0"
"397","85","1","68","9","0","41.0918774966711","0"
"401","85","1","69","7","0","41.650913673597984","0"
"400","85","1","68","9","0","41.151040259389355","0"
"399","85","1","68","9","0","41.099511034756176","0"
"402","85","1","69","6","0","41.58810250962687","0"
"403","85","1","69","9","0","41.26258005489479","0"
"405","85","1","69","7","0","41.525756979944944","0"
"404","85","1","69","10","0","41.99032300248464","0"
"407","85","1","69","8","0","41.60062361959205","0"
"406","85","1","69","8","0","41.477198054934945","0"
"408","85","1","69","10","0","41.358024691358025","0"
"410","85","1","69","8","0","41.06982126784107","0"
"412","85","1","70","5","0","41.27899525823401","0"
"411","85","1","70","8","0","41.832617467135236","0"
"409","85","1","69","14","0","41.68162009741092","0"
"416","85","1","70","6","0","41.46054181389871","0"
"414","85","1","70","8","0","41.65165937741189","0"
"413","85","1","70","10","0","41.06794855138365","0"
"415","85","1","70","9","0","41.086812458581846","0"
"418","85","1","70","9","0","41.4535490605428","0"
"420","85","1","70","7","0","41.373759055540646","0"
"417","85","1","70","11","0","41.32917964693666","0"
"419","85","1","70","9","0","41.064935064935064","0"
"422","85","1","71","7","0","41.28658054310572","0"
"423","85","1","71","7","0","41.89241736876215","0"
"424","85","1","71","7","0","41.45444998687319","0"
"421","85","1","71","11","0","41.18188997104501","0"
"425","85","1","71","7","0","41.55911875896233","0"
"428","85","1","71","6","0","41.730820281391026","0"
"426","85","1","71","7","0","41.28487330432557","0"
"427","85","1","71","8","0","41.321666449000915","0"
"431","85","1","72","6","0","43.97877984084881","0"
"429","85","1","71","9","0","41.78576111183952","0"
"432","85","1","72","6","0","43.89792410419146","0"
"430","85","1","71","8","0","41.84982848430949","0"
"434","85","1","72","7","0","43.359017892124854","0"
"435","85","1","72","7","0","43.753253513794895","0"
"436","85","1","72","8","0","43.905870315897175","0"
"433","85","1","72","10","0","43.555728963454285","0"
"440","85","1","72","7","0","43.48715326601048","0"
"437","85","1","72","8","0","43.377397615344734","0"
"438","85","1","72","9","0","43.81314788085553","0"
"439","85","1","72","11","0","43.646768110287425","0"
"442","85","1","73","5","0","43.60275933879995","0"
"443","85","1","73","6","0","43.642428285523685","0"
"446","85","1","73","4","0","43.263492063492066","0"
"445","85","1","73","6","0","43.35275080906149","0"
"444","85","1","73","8","0","43.151309787566795","0"
"449","85","1","73","4","0","43.14102564102564","0"
"441","85","1","73","13","0","43.83400756883727","0"
"447","85","1","73","10","0","43.33114754098361","0"
"450","85","1","73","6","0","43.37365412734282","0"
"448","85","1","73","10","0","43.004359889021","0"
"453","85","1","74","6","0","43.80536654256002","0"
"454","85","1","74","5","0","43.84535815877942","0"
"452","85","1","74","8","0","43.308718745951545","0"
"451","85","1","74","9","0","43.847643641058745","0"
"455","85","1","74","7","0","43.831337844872465","0"
"458","85","1","74","6","0","43.19634703196347","0"
"456","85","1","74","8","0","43.38169212992682","0"
"457","85","1","74","8","0","43.917147351861566","0"
"462","85","1","75","5","0","45.59216384683882","0"
"460","85","1","74","7","0","43.67923271613161","0"
"463","85","1","75","5","0","45.59681697612732","0"
"461","85","1","75","8","0","46.21290994273816","0"
"465","85","1","75","4","0","45.27376033057851","0"
"466","85","1","75","5","0","45.19730998604238","0"
"459","85","1","74","12","0","43.39500582222797","0"
"467","85","1","75","6","0","44.93034055727554","0"
"468","85","1","75","5","0","45.53862185749642","0"
"469","85","1","75","5","0","45.176720701567895","0"
"464","85","1","75","8","0","46.051452707026755","0"
"471","85","1","76","7","0","45.62591265100226","0"
"472","85","1","76","7","0","45.44289193693116","0"
"470","85","1","75","11","0","45.45218295218295","0"
"476","85","1","76","6","0","45.42566709021601","0"
"473","85","1","76","9","0","45.3440760797781","0"
"477","85","1","76","7","0","45.856137607505865","0"
"474","85","1","76","10","0","45.85744345081536","0"
"475","85","1","76","10","0","45.749092794193885","0"
"479","85","1","76","6","0","45.71611253196931","0"
"478","85","1","76","8","0","45.56586749162155","0"
"482","85","1","77","5","0","45.14066496163683","0"
"480","85","1","76","7","0","45.081011017498376","0"
"481","85","1","77","6","0","45.146520146520146","0"
"484","85","1","77","5","0","45.150972364380756","0"
"483","85","1","77","9","0","45.688311688311686","0"
"487","85","1","77","5","0","45.70600632244468","0"
"485","85","1","77","8","0","45.531637312459225","0"
"489","85","1","77","5","0","45.7280385078219","0"
"486","85","1","77","7","0","46.30459843729986","0"
"488","85","1","77","6","0","45.30653777664717","0"
"490","85","1","77","8","0","45.151133501259444","0"
"491","85","1","78","7","0","45.35020216512326","0"
"493","85","1","78","6","0","46.113119834710744","0"
"492","85","1","78","8","0","45.983236621534495","0"
"494","85","1","78","6","0","45.39337474120082","0"
"497","85","1","78","6","0","44.75916982117217","0"
"495","85","1","78","9","0","45.37364219343018","0"
"496","85","1","78","9","0","45.59445940746441","0"
"498","85","1","78","6","0","46.22372177524007","0"
"499","85","1","78","6","0","45.5042689434365","0"
"503","85","1","79","5","0","45.38079036901335","0"
"501","85","1","79","6","0","45.46602677443799","0"
"502","85","1","79","6","0","46.27450980392157","0"
"500","85","1","78","7","0","45.159194282001295","0"
"504","85","1","79","6","0","45.76048376495333","0"
