"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment2"
"11/06/2019 12:49:50:393 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"360","80","45","19","0","87.84783895796329","0"
"361","80","46","21","0","87.8533231474408","0"
"362","80","46","18","0","86.48405927256398","0"
"363","80","46","21","0","87.43939393939394","0"
"364","80","46","21","0","87.7535799522673","0"
"365","80","46","16","0","86.56292084393236","0"
"366","80","46","18","0","86.93583051888241","0"
"367","80","46","15","0","86.04918740112181","0"
"369","80","46","18","0","86.34573304157549","0"
"370","80","46","18","0","86.6330583562481","0"
"368","80","46","26","0","88.43640784075369","0"
"371","80","47","17","0","86.89275893675527","0"
"372","80","47","16","0","87.08030326473774","0"
"373","80","47","17","0","86.87763100595151","0"
"374","80","47","20","0","88.27783637185476","0"
"375","80","47","21","0","86.98027314112291","0"
"376","80","47","18","0","87.11834835708055","0"
"379","80","47","15","0","86.8559411146162","0"
"378","80","47","18","0","87.25403817914831","0"
"377","80","47","20","0","86.5646518745218","0"
"381","80","48","18","0","86.82748538011697","0"
"380","80","47","20","0","86.81567406988259","0"
"382","80","48","18","0","87.58270503154331","0"
"384","80","48","16","0","88.39272727272727","0"
"383","80","48","24","0","86.82502213042196","0"
"385","80","48","18","0","86.04340071343638","0"
"386","80","48","25","0","86.67936694021103","0"
"388","80","48","24","0","87.36014514665861","0"
"387","80","48","27","0","86.61814941333729","0"
"389","80","48","23","0","86.89024390243902","0"
"393","80","49","17","0","86.63448483934229","0"
"390","80","48","27","0","86.99270072992701","0"
"391","80","49","22","0","86.49601471489883","0"
"392","80","49","21","0","85.7350377687391","0"
"397","80","49","15","0","85.73106283029948","0"
"395","80","49","19","0","85.78780081731497","0"
"396","80","49","19","0","88.0621301775148","0"
"394","80","49","24","0","87.04810703102761","0"
"400","80","49","19","0","86.91295243793","0"
"401","80","50","19","0","86.85770750988142","0"
"398","80","49","25","0","88.17270624518119","0"
"399","80","49","25","0","87.03165843740923","0"
"402","80","50","17","0","88.1462610520006","0"
"405","80","50","13","0","88.30906732016722","0"
"404","80","50","16","0","86.43230679837303","0"
"403","80","50","20","0","87.30505302557704","0"
"406","80","50","15","0","85.7035137988237","0"
"408","80","50","16","0","86.56606006805741","0"
"407","80","50","22","0","85.86236682983012","0"
"409","80","50","20","0","87.01184730144801","0"
"410","80","50","18","0","87.8388497828366","0"
"411","80","51","27","0","94.25879581922567","0"
"412","80","51","29","0","94.11850130699972","0"
"413","80","51","29","0","93.96564169193013","0"
"414","80","51","25","0","93.6547117758095","0"
"416","80","51","28","0","93.71144877388295","0"
"417","80","51","29","0","92.89190384898983","0"
"415","80","51","35","0","93.22183098591549","0"
"418","80","51","29","0","93.8735769922109","0"
"420","80","51","31","0","93.20798717388136","0"
"419","80","51","37","0","93.98168338421283","0"
"421","80","52","32","0","94.07502131287298","0"
"425","80","52","21","0","93.85686185504615","0"
"422","80","52","36","0","94.2260619150468","0"
"424","80","52","29","0","93.19235225955967","0"
"426","80","52","27","0","93.55783308931186","0"
"423","80","52","35","0","94.19917131018717","0"
"429","80","52","27","0","94.15357766143106","0"
"430","80","52","26","0","94.07136836189942","0"
"428","80","52","33","0","94.41558441558442","0"
"432","80","53","23","0","93.72888823615803","0"
"427","80","52","41","0","93.46883873860409","0"
"433","80","53","26","0","93.57173881569423","0"
"431","80","53","35","0","93.8701749313286","0"
"437","80","53","27","0","94.64680725556703","0"
"438","80","53","28","0","93.56927060854552","0"
"436","80","53","35","0","94.09722222222221","0"
"434","80","53","54","0","94.1419507156559","0"
"435","80","53","39","0","94.3549557393702","0"
"439","80","53","36","0","94.14421195243114","0"
"440","80","53","44","0","94.28571428571428","0"
"441","80","54","39","0","94.0991120022916","0"
"442","80","54","28","0","93.98622800306045","0"
"446","80","54","28","0","94.91798476859988","0"
"445","80","54","31","0","92.58204705529747","0"
"443","80","54","38","0","93.4600088378259","0"
"444","80","54","37","0","93.75090829821247","0"
"447","80","54","32","0","94.03400762239812","0"
"450","80","54","24","0","94.44608567208272","0"
"448","80","54","32","0","93.90634089586969","0"
"449","80","54","31","0","93.7125748502994","0"
"453","80","55","20","0","94.60336184016515","0"
"451","80","55","26","0","94.08852213053264","0"
"452","80","55","30","0","95.11469838572643","0"
"454","80","55","33","0","93.52104582674903","0"
"455","80","55","32","0","94.5903285980772","0"
"457","80","55","31","0","93.5638529710882","0"
"456","80","55","33","0","94.26992437463642","0"
"460","80","55","25","0","93.9599209709286","0"
"458","80","55","39","0","93.78046978874279","0"
"461","80","56","25","0","93.7258400237883","0"
"459","80","55","41","0","94.69685684492775","0"
"462","80","56","33","0","94.20441001191895","0"
"463","80","56","33","0","94.52865598383138","0"
"464","80","56","29","0","93.83571744580446","0"
"465","80","56","34","0","93.86898515964623","0"
"466","80","56","38","0","93.84705537650161","0"
"468","80","56","37","0","93.70439261696953","0"
"469","80","56","30","0","93.61954108068097","0"
"467","80","56","39","0","93.4695690804087","0"
"473","80","57","24","0","94.08388520971303","0"
"472","80","57","28","0","93.46830205408601","0"
"470","80","56","42","0","94.5546770102939","0"
"471","80","57","39","0","93.95293416741139","0"
"476","80","57","26","0","93.90816790422791","0"
"474","80","57","32","0","94.80799654825255","0"
"475","80","57","32","0","94.04210840674929","0"
"477","80","57","39","0","94.08728988498967","0"
"479","80","57","34","0","94.98160412067696","0"
"480","80","57","28","0","94.57530335474661","0"
"478","80","57","41","0","94.15012684673928","0"
"482","80","58","35","0","96.49422830269346","0"
"481","80","58","46","0","96.55635062611807","0"
"484","80","58","44","0","96.98118710806474","0"
"487","80","58","36","0","96.37421665174574","0"
"486","80","58","38","0","96.72610347851506","0"
"485","80","58","50","0","96.94690265486726","0"
"490","80","58","29","0","97.01292911279536","0"
"483","80","58","67","0","97.18763732239637","0"
"488","80","58","56","0","96.75912408759125","0"
"489","80","58","53","0","96.58217032184562","0"
"491","80","59","49","0","96.78530424799081","0"
